Tile,Grid position,Oysters touching,8/27 scale,8/27 length A,8/27 length B,10/14 scale,10/14 length A,10/14 length B,11/3 scale,11/3 length A,11/3 length B,Tray,Stack
SSA10,10,11,,0.129,0.133,,0.289,0.302,,0.473,0.502,,
SSA10,11,"edge,10",,0.205,0.208,,0.777,0.771,,1.039,1.077,,
SSA10,12,,,0.227,0.235,,0.767,0.788,,1.106,1.13,,
SSA10,13,,,0.267,0.282,,1.108,1.113,,1.413,1.404,,
SSA10,14,,,0.382,0.381,,1.254,1.27,,1.442,1.452,,
SSA4,1,,223,0.18,0.18,177,0.54,0.55,242,0.79,0.78,4,2
SSA4,2,,,0.21,0.2,,0.78,0.78,,1.07,1.06,,
SSA4,3,,,0.09,0.09,,0.3,0.3,,0.49,0.5,,
SSA4,4,,,0.25,0.27,,1.01,1.03,,1.3,1.33,,
SSA9,1,,250,0.222,0.236,212,0.88,0.89,228,1.177,1.178,5,2
SSA9,2,,,0.261,0.25,,1.06,1.06,,1.33,1.34,,
SSA9,3,,,0.103,0.106,,0.36,0.36,,0.593,0.6,,
SSA9,4,"6,7",,0.166,0.17,,0.33,0.34,,gone,gone,,
SSA9,5,5,,0.171,0.172,,0.24,0.23,,0.236,0.243,,
SSA9,6,"edge, 5",,0.14,0.14,,0.73,0.75,,0.993,0.981,,
SSA9,7,"edge, 9",,0.231,0.247,,0.79,0.79,,0.986,1.012,,
SSA9,9,8,,0.094,0.103,,0.5,0.5,,0.746,0.758,,
SSA9,10,,,0.233,0.227,,0.84,0.84,,1.129,1.141,,
